Paper_ID,Formalism,Knowledge,Capability,Intent,Access,Stealth,Adaptability
"AG1","Attack Graph",3,3,4,4,3,1
"AG2","Attack Graph",2,4,4,5,1,2
"AG3","Attack Graph",3,3,2,4,4,4
"AG4","Attack Graph",3,4,3,4,4,4
"BN1","Bayesian Network",3,3,3,5,3,4
"BN2","Bayesian Network",2,3,2,1,2,2
"GT1","Game Theory",3,3,3,4,3,3
"GT2","Game Theory",4,4,3,1,3,4
"GT3","Game Theory",3,3,3,4,2,3
"GT4","Game Theory",2,2,1,1,3,3
"GT5","Game Theory",5,4,2,4,3,4
"GT6","Game Theory",3,3,1,1,3,2
"GT7","Game Theory",3,3,3,1,1,2
"RL1","Reinforcement Learning",2,3,1,4,1,3
"RL2","Reinforcement Learning",2,3,1,4,1,3
"RL3","Reinforcement Learning",1,3,1,1,1,3
"RL4","Reinforcement Learning",2,3,3,1,1,3
